stock_id,stock_name,shares,weight,amount
2330,台積電,4485000.0,8.61,8117850000.0
2383,台光電,2497000.0,7.4,6979115000.0
2308,台達電,4339000.0,6.49,6117990000.0
3017,奇鋐,2976000.0,6.3,5937120000.0
2368,金像電,5841000.0,5.96,5619042000.0
3653,健策,1378000.0,5.63,5305300000.0
6223,旺矽,1384000.0,5.45,5141560000.0
2345,智邦,3154000.0,5.24,4936010000.0
3665,貿聯-KY,2678848.0,5.03,4741560960.0
3037,欣興,7410000.0,3.92,3697590000.0
5274,信驊,258000.0,3.14,2957970000.0
2327,國巨*,10803000.0,2.9,2733159000.0
8046,南電,4706000.0,2.67,2513004000.0
6515,穎崴,268000.0,2.24,2113180000.0
2449,京元電子,7082000.0,2.15,2025452000.0
6510,精測,591000.0,2.14,2015310000.0
3661,世芯-KY,531000.0,1.8,1693890000.0
8210,勤誠,1622000.0,1.54,1448446000.0
3711,日月光投控,4259000.0,1.49,1403340500.0
6805,富世達,682000.0,1.35,1271930000.0
1303,南亞,15337000.0,1.2,1131870600.0
6139,亞翔,1724000.0,1.09,1030952000.0
3189,景碩,2657000.0,0.98,919322000.0
2454,聯發科,487000.0,0.84,791375000.0
6488,環球晶,1701000.0,0.8,750991500.0
3443,創意,265000.0,0.73,686350000.0
2404,漢唐,574000.0,0.56,525210000.0
3211,順達,1596000.0,0.51,479598000.0
6274,台燿,845000.0,0.48,454610000.0
5347,世界,3849000.0,0.46,434937000.0
8358,金居,1865000.0,0.44,414962500.0
4979,華星光,1037000.0,0.42,394060000.0
1326,台化,8828000.0,0.4,380486800.0
6191,精成科,3400000.0,0.33,315520000.0
3376,新日興,1426000.0,0.31,290904000.0
2408,南亞科,1306000.0,0.31,291238000.0
8996,高力,335000.0,0.29,274700000.0
6669,緯穎,74000.0,0.29,269730000.0
3264,欣銓,1790000.0,0.28,259550000.0
3533,嘉澤,115000.0,0.24,228275000.0
3324,雙鴻,159000.0,0.17,159795000.0
1319,東陽,1502000.0,0.13,123164000.0
2002,中鋼,4927000.0,0.1,93859350.0
3217,優群,356000.0,0.06,55002000.0
3008,大立光,8000.0,0.02,17880000.0
2357,華碩,6000.0,0.0,3378000.0
1815,富喬,3000.0,0.0,310500.0
2439,美律,6000.0,0.0,499800.0
3045,台灣大,6000.0,0.0,654000.0
5536,聖暉*,5000.0,0.0,3615000.0
2313,華通,5000.0,0.0,1080000.0
3583,辛耘,6000.0,0.0,2616000.0
